優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
1307,穴を開ける,動詞,日常生活,drill (a hole),ドリル,drilled (a hole),drilled (a hole),bore
1308,溶接する,動詞,日常生活,weld,ウェルド,welded,welded,
1309,磨く,動詞,日常生活,polish,ポリッシュ,polished,polished,shine
1310,拭く,動詞,日常生活,wipe,ワイプ,wiped,wiped,
1311,蝶,名詞,動物,butterfly,バタフライ,,,
1312,蜂,名詞,動物,bee,ビー,,,
1313,蟻,名詞,動物,ant,アント,,,
1314,蜘蛛,名詞,動物,spider,スパイダー,,,
1315,蚊,名詞,動物,mosquito,モスキート,,,
1316,セミ,名詞,動物,cicada,シケイダ,,,
1317,イルカ,名詞,動物,dolphin,ドルフィン,,,
1318,クジラ,名詞,動物,whale,ホエール,,,
1319,サメ,名詞,動物,shark,シャーク,,,
1320,タコ,名詞,動物,octopus,オクトパス,,,
1321,円,名詞,基本名詞,circle,サークル,,,
1322,三角形,名詞,基本名詞,triangle,トライアングル,,,
1323,四角形,名詞,基本名詞,square,スクエア,,,
1324,長方形,名詞,基本名詞,rectangle,レクタングル,,,
1325,楕円,名詞,基本名詞,oval,オーバル,,,
1326,線,名詞,基本名詞,line,ライン,,,
1327,点,名詞,基本名詞,dot,ドット,,,point
1328,縞模様,名詞,基本名詞,stripes,ストライプス,,,
1329,水玉模様,名詞,基本名詞,polka dots,ポルカドッツ,,,
1330,格子模様,名詞,基本名詞,checkered pattern,チェッカードパターン,,,plaid
1331,足し算,名詞,教育,addition,アディション,,,
1332,引き算,名詞,教育,subtraction,サブトラクション,,,
1333,掛け算,名詞,教育,multiplication,マルティプリケーション,,,
1334,割り算,名詞,教育,division,ディビジョン,,,
1335,分数,名詞,教育,fraction,フラクション,,,
1336,小数,名詞,教育,decimal,デシマル,,,
1337,角度,名詞,教育,angle,アングル,,,
1338,半径,名詞,教育,radius,レイディアス,,,
1339,直径,名詞,教育,diameter,ダイアミター,,,
1340,体積,名詞,教育,volume,ボリューム,,,
1341,デザイン,名詞,趣味,design,デザイン,,,
1342,色彩,名詞,趣味,coloring,カラーリング,,,color scheme
1343,構図,名詞,趣味,composition,コンポジション,,,layout
1344,スケッチ,名詞,趣味,sketch,スケッチ,,,drawing
1345,彫刻,名詞,趣味,sculpture,スカルプチャー,,,carving
1346,版画,名詞,趣味,print (art),アートプリント,,,printmaking
1347,キャンバス,名詞,趣味,canvas,キャンバス,,,
1348,絵の具,名詞,趣味,paints (art),ペインツ,,,art supplies
1349,筆,名詞,趣味,paintbrush,ペイントブラシ,,,brush
1350,額縁,名詞,趣味,picture frame,ピクチャーフレーム,,,
1351,テレビ番組,名詞,趣味,TV program,ティービープログラム,,,show
1352,ニュース,名詞,趣味,news,ニュース,,,
1353,記事,名詞,教育,article,アーティクル,,,piece
1354,見出し,名詞,教育,headline,ヘッドライン,,,title
1355,特集,名詞,趣味,feature story,フィーチャーストーリー,,,special report
1356,編集者,名詞,ビジネス,editor,エディター,,,
1357,出版社,名詞,ビジネス,publisher,パブリッシャー,,,
1358,放送,名詞,テクノロジー,broadcast,ブロードキャスト,,,
1359,登録者,名詞,テクノロジー,subscriber,サブスクライバー,,,
1360,視聴者,名詞,テクノロジー,viewer,ビューアー,,,audience
1361,郵便,名詞,日常生活,mail,メール,,,post
1362,小包,名詞,日常生活,parcel,パーセル,,,package
1363,切手,名詞,日常生活,stamp,スタンプ,,,
1364,封筒,名詞,日常生活,envelope,エンベロープ,,,
1365,宛先,名詞,日常生活,mailing address,メーリングアドレス,,,
1366,差出人,名詞,日常生活,sender,センダー,,,
1367,受取人,名詞,日常生活,recipient,レシピエント,,,addressee
1368,配達員,名詞,ビジネス,delivery person,デリバリーパーソン,,,courier
1369,郵便番号,名詞,日常生活,zip code,ジップコード,,,postal code
1370,書留,名詞,日常生活,registered mail,レジスタードメール,,,
1371,シャワー,名詞,日常生活,shower,シャワー,,,
1372,バスタブ,名詞,日常生活,bathtub,バスタブ,,,tub
1373,トイレ,名詞,日常生活,toilet,トイレ,,,restroom
1374,洗面台,名詞,日常生活,bathroom sink,バスルームシンク,,,
1375,蛇口,名詞,日常生活,faucet,フォーセット,,,tap
1376,歯ブラシ,名詞,日常生活,toothbrush,トゥースブラシ,,,
1377,歯磨き粉,名詞,日常生活,toothpaste,トゥースペースト,,,
1378,石鹸,名詞,日常生活,soap,ソープ,,,
1379,シャンプー,名詞,日常生活,shampoo,シャンプー,,,
1380,ドライヤー,名詞,日常生活,hair dryer,ヘアドライヤー,,,
1381,マフラー,名詞,日常生活,scarf,スカーフ,,,
1382,ストッキング,名詞,日常生活,stockings,ストッキング,,,
1383,ハイヒール,名詞,日常生活,high heels,ハイヒール,,,
1384,ブレザー,名詞,日常生活,blazer,ブレザー,,,
1385,カーディガン,名詞,日常生活,cardigan,カーディガン,,,
1386,ベスト,名詞,日常生活,vest,ベスト,,,waistcoat
1387,ショートパンツ,名詞,日常生活,shorts,ショーツ,,,
1388,ジーンズ,名詞,日常生活,jeans,ジーンズ,,,denim
1389,レギンス,名詞,日常生活,leggings,レギンス,,,
1390,ビーチサンダル,名詞,日常生活,flip-flops,フリップフロップス,,,
1391,微笑む,動詞,感情,grin,グリン,grinned,grinned,smile
1392,泣き出す,動詞,感情,burst into tears,バーストイントゥティアーズ,burst into tears,burst into tears,start crying
1393,落ち込む,動詞,感情,feel down,フィールダウン,felt down,felt down,feel blue
1394,元気づける,動詞,感情,cheer up,チアーアップ,cheered up,cheered up,encourage
1395,落ち着く,動詞,感情,calm down,カームダウン,calmed down,calmed down,settle down
1396,取り乱す,動詞,感情,get upset,ゲットアップセット,got upset,gotten upset,lose composure
1397,すねる,動詞,感情,sulk,サルク,sulked,sulked,pout
1398,パニックになる,動詞,感情,panic,パニック,panicked,panicked,freak out
1399,リラックスする,動詞,感情,relax,リラックス,relaxed,relaxed,unwind
1400,羨む,動詞,感情,envy,エンビー,envied,envied,be jealous of
1401,パスポート,名詞,日常生活,passport,パスポート,,,
1402,ビザ,名詞,日常生活,visa,ビザ,,,
1403,荷物,名詞,日常生活,luggage,ラゲージ,,,baggage
1404,お土産,名詞,日常生活,souvenir,スーベニア,,,
1405,ホテル,名詞,場所,hotel,ホテル,,,
1406,ツアー,名詞,趣味,tour,ツアー,,,
1407,観光,名詞,趣味,sightseeing,サイトシーイング,,,
1408,旅程,名詞,日常生活,itinerary,イティナラリー,,,travel plan
1409,添乗員,名詞,ビジネス,tour guide,ツアーガイド,,,
1410,現地時間,名詞,日常生活,local time,ローカルタイム,,,
1411,国語,名詞,教育,Japanese (subject),ジャパニーズ,,,
1412,算数,名詞,教育,arithmetic,アリスメティック,,,
1413,理科,名詞,教育,science,サイエンス,,,
1414,社会科,名詞,教育,social studies,ソーシャルスタディーズ,,,
1415,体育,名詞,教育,physical education,フィジカルエデュケーション,,,PE
1416,家庭科,名詞,教育,home economics,ホームエコノミクス,,,
1417,美術,名詞,教育,art (subject),アート,,,
1418,道徳の時間,名詞,教育,moral education,モラルエデュケーション,,,
1419,音楽の授業,名詞,教育,music class,ミュージッククラス,,,
1420,外国語,名詞,教育,foreign language,フォーリンランゲージ,,,
1421,火災報知器,名詞,社会,fire alarm,ファイアーアラーム,,,
1422,非常口,名詞,社会,emergency exit,エマージェンシーエグジット,,,
1423,消火器,名詞,社会,fire extinguisher,ファイアーエクスティングイッシャー,,,
1424,避難,名詞,社会,evacuation,エバキュエーション,,,
1425,救急車,名詞,健康,ambulance,アンビュランス,,,
1426,応急処置,名詞,健康,first aid,ファーストエイド,,,
1427,避難所,名詞,社会,shelter,シェルター,,,
1428,防災訓練,名詞,社会,disaster drill,ディザスタードリル,,,
1429,緊急事態,名詞,社会,emergency,エマージェンシー,,,crisis
1430,消防車,名詞,社会,fire truck,ファイアートラック,,,
1431,化粧,名詞,日常生活,makeup,メイクアップ,,,cosmetics
1432,口紅,名詞,日常生活,lipstick,リップスティック,,,
1433,香水,名詞,日常生活,perfume,パフューム,,,fragrance
1434,日焼け止め,名詞,日常生活,sunscreen,サンスクリーン,,,
1435,美容院,名詞,場所,hair salon,ヘアサロン,,,
1436,マニキュア,名詞,日常生活,manicure,マニキュア,,,nail art
1437,まつげ,名詞,身体,eyelash,アイラッシュ,,,
1438,眉毛,名詞,身体,eyebrow,アイブロウ,,,
1439,ひげ,名詞,身体,beard,ビアード,,,mustache
1440,しわ,名詞,身体,wrinkle,リンクル,,,
1441,恋愛,名詞,感情,romance,ロマンス,,,
1442,片思い,名詞,感情,one-sided love,ワンサイデッドラブ,,,unrequited love
1443,デート,名詞,日常生活,date (romantic),デート,,,
1444,プロポーズ,名詞,日常生活,marriage proposal,マリッジプロポーザル,,,
1445,婚約,名詞,日常生活,engagement,エンゲージメント,,,
1446,破局,名詞,感情,breakup,ブレイクアップ,,,split
1447,浮気,名詞,感情,cheating,チーティング,,,infidelity
1448,運命の人,名詞,感情,soulmate,ソウルメイト,,,
1449,結婚指輪,名詞,日常生活,wedding ring,ウェディングリング,,,
1450,新婚旅行,名詞,日常生活,honeymoon,ハネムーン,,,
1451,売上,名詞,ビジネス,revenue,レベニュー,,,sales
1452,利益,名詞,ビジネス,earnings,アーニングス,,,profit
1453,損失,名詞,ビジネス,loss,ロス,,,
1454,資本,名詞,ビジネス,capital (finance),キャピタル,,,funds
1455,株主,名詞,ビジネス,shareholder,シェアホルダー,,,stockholder
1456,配当,名詞,ビジネス,dividend,ディビデンド,,,
1457,黒字,名詞,ビジネス,surplus,サープラス,,,being in the black
1458,赤字,名詞,ビジネス,deficit,デフィシット,,,being in the red
1459,決算,名詞,ビジネス,financial results,ファイナンシャルリザルツ,,,
1460,会計年度,名詞,ビジネス,fiscal year,フィスカルイヤー,,,
1461,倉庫,名詞,ビジネス,warehouse,ウェアハウス,,,
1462,出荷,名詞,ビジネス,shipment,シップメント,,,
1463,入荷,名詞,ビジネス,stock arrival,ストックアライバル,,,
1464,追跡番号,名詞,ビジネス,tracking number,トラッキングナンバー,,,
1465,コンテナ,名詞,ビジネス,container,コンテナ,,,
1466,港,名詞,場所,port,ポート,,,harbor
1467,貨物,名詞,ビジネス,cargo,カーゴ,,,
1468,運送,名詞,ビジネス,freight,フレイト,,,shipping
1469,税関,名詞,社会,customs,カスタムズ,,,
1470,物流,名詞,ビジネス,logistics,ロジスティクス,,,
1471,契約書,名詞,ビジネス,written contract,リトゥンコントラクト,,,
1472,条項,名詞,ビジネス,clause,クローズ,,,provision
1473,違約金,名詞,ビジネス,penalty (fee),ペナルティ,,,
1474,印鑑,名詞,日常生活,personal seal,パーソナルシール,,,
1475,署名,名詞,ビジネス,signature,シグネチャー,,,
1476,証人,名詞,社会,witness,ウィットネス,,,
1477,裁判官,名詞,社会,judge (person),ジャッジ,,,magistrate
1478,原告,名詞,社会,plaintiff,プレインティフ,,,
1479,被告,名詞,社会,defendant,ディフェンダント,,,
1480,和解,名詞,社会,settlement (legal),セツルメント,,,
1481,修理費,名詞,ビジネス,repair cost,リペアコスト,,,
1482,保証書,名詞,ビジネス,warranty card,ワランティカード,,,
1483,取扱説明書,名詞,日常生活,instruction manual,インストラクションマニュアル,,,
1484,部品,名詞,ビジネス,parts,パーツ,,,components
1485,メンテナンス料,名詞,ビジネス,maintenance fee,メインテナンスフィー,,,
1486,技術者,名詞,ビジネス,technician,テクニシャン,,,
1487,点検,名詞,ビジネス,inspection,インスペクション,,,
1488,故障,名詞,テクノロジー,malfunction,マルファンクション,,,breakdown
1489,交換品,名詞,ビジネス,replacement (part),リプレイスメント,,,
1490,予備,名詞,日常生活,spare (part),スペア,,,backup
1491,議題,名詞,ビジネス,agenda,アジェンダ,,,
1492,議事録,名詞,ビジネス,meeting minutes,ミーティングミニッツ,,,
1493,発言,名詞,ビジネス,comment (in a meeting),コメント,,,remark
1494,討論,名詞,ビジネス,debate,ディベート,,,
1495,ブレインストーミング,名詞,ビジネス,brainstorming,ブレインストーミング,,,
1496,合意,名詞,ビジネス,consensus,コンセンサス,,,agreement
1497,プレゼンテーション,名詞,ビジネス,presentation,プレゼンテーション,,,
1498,電話会議,名詞,ビジネス,conference call,カンファレンスコール,,,
1499,進行役,名詞,ビジネス,facilitator,ファシリテーター,,,moderator
1500,出席者,名詞,ビジネス,attendee,アテンディー,,,participant
1501,ゲーム機,名詞,趣味,console,コンソール,,,
1502,コントローラー,名詞,趣味,controller,コントローラー,,,
1503,レベル,名詞,趣味,level (game),レベル,,,
1504,ステージ,名詞,趣味,stage (game),ステージ,,,
1505,キャラクター,名詞,趣味,character,キャラクター,,,
1506,アイテム,名詞,趣味,item,アイテム,,,
1507,スコア,名詞,趣味,score,スコア,,,
1508,ゲームオーバー,名詞,趣味,game over,ゲームオーバー,,,
1509,オンラインゲーム,名詞,趣味,online gaming,オンラインゲーミング,,,
1510,eスポーツ,名詞,趣味,esports,イースポーツ,,,
1511,炊飯器,名詞,日常生活,rice cooker,ライスクッカー,,,
1512,トースター,名詞,日常生活,toaster,トースター,,,
1513,ミキサー,名詞,日常生活,blender,ブレンダー,,,
1514,圧力鍋,名詞,日常生活,pressure cooker,プレッシャークッカー,,,
1515,やかん,名詞,日常生活,kettle,ケトル,,,
1516,ざる,名詞,日常生活,colander,コランダー,,,strainer
1517,泡立て器,名詞,日常生活,whisk,ウィスク,,,
1518,めん棒,名詞,日常生活,rolling pin,ローリングピン,,,
1519,おろし金,名詞,日常生活,grater,グレイター,,,
1520,おたま,名詞,日常生活,ladle,レードル,,,
1521,梅雨,名詞,自然,rainy season,レイニーシーズン,,,
1522,熱中症,名詞,健康,heat exhaustion,ヒートイグゾーション,,,heatstroke
1523,寒波,名詞,自然,cold wave,コールドウェーブ,,,
1524,凍傷,名詞,健康,frostbite,フロストバイト,,,
1525,日焼け,名詞,健康,sunburn,サンバーン,,,
1526,脱水症状,名詞,健康,dehydration,ディハイドレーション,,,
1527,低体温症,名詞,健康,hypothermia,ハイポサーミア,,,
1528,モンスーン,名詞,自然,monsoon,モンスーン,,,
1529,吹雪,名詞,自然,blizzard,ブリザード,,,snowstorm
1530,竜巻,名詞,自然,tornado,トルネード,,,
1531,起業,名詞,ビジネス,entrepreneurship,アントレプレナーシップ,,,
1532,スタートアップ,名詞,ビジネス,startup,スタートアップ,,,
1533,資金調達,名詞,ビジネス,fundraising,ファンドレイジング,,,
1534,投資家,名詞,ビジネス,investor,インベスター,,,
1535,ベンチャー企業,名詞,ビジネス,venture company,ベンチャーカンパニー,,,
1536,事業計画,名詞,ビジネス,business plan,ビジネスプラン,,,
1537,ピッチ,名詞,ビジネス,pitch (presentation),ピッチ,,,
1538,試作品,名詞,ビジネス,prototype,プロトタイプ,,,
1539,事業拡大,名詞,ビジネス,scale up (business),スケールアップ,,,
1540,株式持分,名詞,ビジネス,equity (stake),エクイティ,,,
1541,縫製,名詞,ビジネス,garment manufacturing,ガーメントマニュファクチャリング,,,
1542,生地,名詞,日常生活,fabric,ファブリック,,,cloth
1543,繊維,名詞,日常生活,fiber,ファイバー,,,
1544,ファッションショー,名詞,趣味,fashion show,ファッションショー,,,
1545,コレクション,名詞,趣味,fashion collection,ファッションコレクション,,,
1546,スタイリスト,名詞,ビジネス,stylist,スタイリスト,,,
1547,モデル,名詞,ビジネス,fashion model,ファッションモデル,,,
1548,ランウェイ,名詞,趣味,runway,ランウェイ,,,catwalk
1549,仕立て屋,名詞,ビジネス,tailor,テイラー,,,
1550,型紙,名詞,趣味,pattern (sewing),ソーイングパターン,,,
1551,アルバム,名詞,趣味,album,アルバム,,,
1552,シングル,名詞,趣味,single (song),シングル,,,
1553,コンサート,名詞,趣味,concert,コンサート,,,
1554,コンサートツアー,名詞,趣味,concert tour,コンサートツアー,,,
1555,ファン,名詞,趣味,fan,ファン,,,
1556,ファンクラブ,名詞,趣味,fan club,ファンクラブ,,,
1557,ミュージックビデオ,名詞,趣味,music video,ミュージックビデオ,,,
1558,歌詞,名詞,趣味,lyrics,リリックス,,,
1559,メロディー,名詞,趣味,melody,メロディー,,,tune
1560,リズム,名詞,趣味,rhythm,リズム,,,beat
1561,賃貸,名詞,日常生活,rental,レンタル,,,
1562,マンション,名詞,日常生活,condominium,コンドミニアム,,,condo
1563,アパート,名詞,日常生活,apartment,アパートメント,,,flat
1564,一戸建て,名詞,日常生活,detached house,ディタッチドハウス,,,
1565,不動産,名詞,ビジネス,real estate,リアルエステート,,,property
1566,大家,名詞,日常生活,landlord,ランドロード,,,
1567,入居者,名詞,日常生活,tenant,テナント,,,
1568,敷金,名詞,日常生活,security deposit,セキュリティデポジット,,,
1569,礼金,名詞,日常生活,key money,キーマネー,,,
1570,間取り,名詞,日常生活,floor plan,フロアプラン,,,
1571,和食,名詞,食べ物,Japanese cuisine,ジャパニーズキュイジーン,,,
1572,洋食,名詞,食べ物,Western cuisine,ウェスタンキュイジーン,,,
1573,中華料理,名詞,食べ物,Chinese cuisine,チャイニーズキュイジーン,,,
1574,イタリアン,名詞,食べ物,Italian cuisine,イタリアンキュイジーン,,,
1575,フレンチ,名詞,食べ物,French cuisine,フレンチキュイジーン,,,
1576,ベジタリアン,名詞,食べ物,vegetarian,ベジタリアン,,,
1577,ビーガン,名詞,食べ物,vegan,ビーガン,,,
1578,アレルギー,名詞,健康,allergy,アレルギー,,,
1579,グルテンフリー,名詞,食べ物,gluten-free,グルテンフリー,,,
1580,オーガニック,名詞,食べ物,organic,オーガニック,,,
1581,目覚める,動詞,日常生活,awaken,アウェイクン,awoke,awoken,wake naturally
1582,歯を磨く,動詞,日常生活,brush one's teeth,ブラッシュワンズティース,brushed one's teeth,brushed one's teeth,
1583,顔を洗う,動詞,日常生活,wash one's face,ウォッシュワンズフェイス,washed one's face,washed one's face,
1584,出かける,動詞,日常生活,head out,ヘッドアウト,headed out,headed out,go out
1585,帰宅する,動詞,日常生活,return home,リターンホーム,returned home,returned home,go home
1586,寝坊する,動詞,日常生活,oversleep,オーバースリープ,overslept,overslept,
1587,昼寝する,動詞,日常生活,take a nap,テイクアナップ,took a nap,taken a nap,doze
1588,早起きする,動詞,日常生活,wake up early,ウェイクアップアーリー,woke up early,woken up early,rise early
1589,夜更かしする,動詞,日常生活,stay up late,ステイアップレイト,stayed up late,stayed up late,
1590,うたた寝する,動詞,日常生活,doze off,ドーズオフ,dozed off,dozed off,nap briefly
1591,存在,名詞,抽象概念,existence,イグジステンス,,,
1592,意識,名詞,抽象概念,consciousness,コンシャスネス,,,awareness
1593,無意識,名詞,抽象概念,subconscious,サブコンシャス,,,unconsciousness
1594,本能,名詞,抽象概念,instinct,インスティンクト,,,
1595,直感,名詞,抽象概念,intuition,イントゥイション,,,gut feeling
1596,理性,名詞,抽象概念,rationality,ラショナリティ,,,reason
1597,運命,名詞,抽象概念,fate,フェイト,,,destiny
1598,偶然,名詞,抽象概念,coincidence,コインシデンス,,,chance
1599,必然,名詞,抽象概念,inevitability,イネビタビリティ,,,
1600,自我,名詞,抽象概念,ego,エゴ,,,self
1601,幼稚園,名詞,教育,kindergarten,キンダーガーテン,,,
1602,小学校,名詞,教育,elementary school,エレメンタリースクール,,,
1603,中学校,名詞,教育,junior high school,ジュニアハイスクール,,,
1604,高校,名詞,教育,high school,ハイスクール,,,
1605,大学院,名詞,教育,graduate school,グラジュエートスクール,,,
1606,塾,名詞,教育,cram school,クラムスクール,,,
1607,予備校,名詞,教育,prep school,プレップスクール,,,
1608,授業料,名詞,教育,tuition,テュイション,,,school fee
1609,ランドセル,名詞,教育,school bag,スクールバッグ,,,
1610,卒業生,名詞,教育,alumni,アルムナイ,,,graduate
1611,心臓,名詞,身体,heart,ハート,,,
1612,肺,名詞,身体,lungs,ラングズ,,,
1613,胃,名詞,身体,stomach,スタマック,,,
1614,肝臓,名詞,身体,liver,リバー,,,
1615,腎臓,名詞,身体,kidney,キドニー,,,
1616,脳,名詞,身体,brain,ブレイン,,,
1617,血液,名詞,身体,blood,ブラッド,,,
1618,血管,名詞,身体,blood vessel,ブラッドベッセル,,,
1619,筋肉,名詞,身体,muscle,マッスル,,,
1620,神経,名詞,身体,nerve,ナーブ,,,
1621,母の日,名詞,社会,Mother's Day,マザーズデイ,,,
1622,父の日,名詞,社会,Father's Day,ファーザーズデイ,,,
1623,子供の日,名詞,社会,Children's Day,チルドレンズデイ,,,
1624,成人式,名詞,社会,coming-of-age ceremony,カミングオブエイジセレモニー,,,
1625,七五三,名詞,社会,Shichi-Go-San,シチゴサン,,,
1626,お盆,名詞,社会,Obon festival,オボンフェスティバル,,,
1627,節分,名詞,社会,Setsubun,セツブン,,,
1628,ひな祭り,名詞,社会,Hinamatsuri,ヒナマツリ,,,Doll Festival
1629,端午の節句,名詞,社会,Boys' Festival,ボーイズフェスティバル,,,
1630,敬老の日,名詞,社会,Respect for the Aged Day,リスペクトフォーザエイジドデイ,,,
1631,日食,名詞,自然,solar eclipse,ソーラーエクリプス,,,
1632,月食,名詞,自然,lunar eclipse,ルナーエクリプス,,,
1633,流れ星,名詞,自然,shooting star,シューティングスター,,,
1634,彗星,名詞,自然,comet,コメット,,,
1635,隕石,名詞,自然,meteorite,ミーティオライト,,,
1636,北極星,名詞,自然,North Star,ノーススター,,,
1637,宇宙船,名詞,自然,spacecraft,スペースクラフト,,,
1638,宇宙飛行士,名詞,ビジネス,astronaut,アストロノート,,,
1639,天の川,名詞,自然,Milky Way,ミルキーウェイ,,,
1640,満月,名詞,自然,full moon,フルムーン,,,
1641,土台,名詞,日常生活,foundation,ファウンデーション,,,base
1642,柱,名詞,日常生活,pillar,ピラー,,,column
1643,梁,名詞,日常生活,beam,ビーム,,,
1644,ドア,名詞,日常生活,door,ドア,,,
1645,窓,名詞,日常生活,window,ウィンドウ,,,
1646,レンガ,名詞,日常生活,brick,ブリック,,,
1647,コンクリート,名詞,日常生活,concrete,コンクリート,,,
1648,鉄骨,名詞,日常生活,steel frame,スティールフレーム,,,
1649,設計図,名詞,ビジネス,blueprint,ブループリント,,,
1650,建築家,名詞,ビジネス,architect,アーキテクト,,,
1651,物理学,名詞,教育,physics,フィジックス,,,
1652,化学,名詞,教育,chemistry,ケミストリー,,,
1653,生物学,名詞,教育,biology,バイオロジー,,,
1654,天文学,名詞,教育,astronomy,アストロノミー,,,
1655,地学,名詞,教育,earth science,アースサイエンス,,,
1656,数学,名詞,教育,mathematics,マスマティクス,,,math
1657,医学,名詞,教育,medical science,メディカルサイエンス,,,
1658,心理学,名詞,教育,psychology,サイコロジー,,,
1659,哲学,名詞,教育,philosophy,フィロソフィー,,,
1660,経済学,名詞,教育,economics,エコノミクス,,,
1661,市役所,名詞,場所,city hall,シティホール,,,
1662,区役所,名詞,場所,ward office,ワードオフィス,,,
1663,県庁,名詞,場所,prefectural office,プレフェクチュラルオフィス,,,
1664,役場,名詞,場所,town hall,タウンホール,,,
1665,税務署,名詞,場所,tax office,タックスオフィス,,,
1666,領事館,名詞,場所,consulate,コンスレート,,,
1667,市議会,名詞,社会,city council,シティカウンシル,,,
1668,市長,名詞,社会,mayor,メイヤー,,,
1669,知事,名詞,社会,governor,ガバナー,,,
1670,議員,名詞,社会,legislator,レジスレーター,,,lawmaker
1671,ゴールキーパー,名詞,趣味,goalkeeper,ゴールキーパー,,,
1672,スコアボード,名詞,趣味,scoreboard,スコアボード,,,
1673,ハーフタイム,名詞,趣味,halftime,ハーフタイム,,,
1674,ペナルティキック,名詞,趣味,penalty kick,ペナルティキック,,,
1675,イエローカード,名詞,趣味,yellow card,イエローカード,,,
1676,レッドカード,名詞,趣味,red card,レッドカード,,,
1677,オフサイド,名詞,趣味,offside,オフサイド,,,
1678,トーナメント,名詞,趣味,tournament,トーナメント,,,
1679,優勝,名詞,趣味,championship,チャンピオンシップ,,,title
1680,応援団,名詞,趣味,cheering squad,チアリングスクワッド,,,
1681,関数,名詞,テクノロジー,function,ファンクション,,,
1682,変数,名詞,テクノロジー,variable,バリアブル,,,
1683,配列,名詞,テクノロジー,array,アレイ,,,
1684,ループ,名詞,テクノロジー,loop,ループ,,,
1685,バグ,名詞,テクノロジー,bug (software),ソフトウェアバグ,,,
1686,デバッグ,名詞,テクノロジー,debugging,デバッギング,,,
1687,プログラム,名詞,テクノロジー,program,プログラム,,,
1688,構文,名詞,テクノロジー,syntax,シンタックス,,,
1689,コンパイラ,名詞,テクノロジー,compiler,コンパイラー,,,
1690,インターフェース,名詞,テクノロジー,interface,インターフェース,,,
1691,骨折,名詞,健康,fracture,フラクチャー,,,broken bone
1692,捻挫,名詞,健康,sprain,スプレイン,,,
1693,火傷,名詞,健康,burn,バーン,,,
1694,切り傷,名詞,健康,cut (wound),カット,,,laceration
1695,打撲,名詞,健康,bruise,ブルーズ,,,contusion
1696,めまい,名詞,健康,dizziness,ディジネス,,,
1697,吐き気,名詞,健康,nausea,ノージア,,,
1698,発熱,名詞,健康,fever,フィーバー,,,
1699,咳,名詞,健康,cough,コフ,,,
1700,くしゃみ,名詞,健康,sneeze,スニーズ,,,
1701,スパイス,名詞,食べ物,spice,スパイス,,,
1702,ハーブ,名詞,食べ物,herb,ハーブ,,,
1703,オリーブオイル,名詞,食べ物,olive oil,オリーブオイル,,,
1704,バター,名詞,食べ物,butter,バター,,,
1705,チーズ,名詞,食べ物,cheese,チーズ,,,
1706,ヨーグルト,名詞,食べ物,yogurt,ヨーグルト,,,
1707,小麦粉,名詞,食べ物,flour,フラワー,,,
1708,酵母,名詞,食べ物,yeast,イースト,,,
1709,だし,名詞,食べ物,dashi,ダシ,,,broth
1710,醤油,名詞,食べ物,soy sauce,ソイソース,,,
1711,駅員,名詞,ビジネス,station staff,ステーションスタッフ,,,
1712,運転士,名詞,ビジネス,train driver,トレインドライバー,,,
1713,車掌,名詞,ビジネス,conductor,コンダクター,,,
1714,パイロット,名詞,ビジネス,pilot,パイロット,,,
1715,客室乗務員,名詞,ビジネス,flight attendant,フライトアテンダント,,,
1716,船長,名詞,ビジネス,ship captain,シップキャプテン,,,
1717,整備士,名詞,ビジネス,mechanic,メカニック,,,
1718,レッカー車,名詞,乗り物,tow truck,トウトラック,,,
1719,通行料,名詞,ビジネス,toll,トール,,,
1720,ロータリー,名詞,日常生活,roundabout,ラウンドアバウト,,,traffic circle
1721,為替,名詞,ビジネス,exchange rate,エクスチェンジレート,,,
1722,インフレ,名詞,ビジネス,inflation,インフレーション,,,
1723,デフレ,名詞,ビジネス,deflation,デフレーション,,,
1724,クレジットスコア,名詞,ビジネス,credit score,クレジットスコア,,,
1725,金利,名詞,ビジネス,interest rate,インタレストレート,,,
1726,通貨,名詞,ビジネス,currency,カレンシー,,,
1727,仮想通貨,名詞,ビジネス,cryptocurrency,クリプトカレンシー,,,
1728,株価,名詞,ビジネス,stock price,ストックプライス,,,
1729,証券,名詞,ビジネス,securities,セキュリティーズ,,,
1730,ファンド,名詞,ビジネス,fund (investment),インベストメントファンド,,,
1731,訴訟,名詞,社会,lawsuit,ローシュート,,,litigation
1732,損害賠償,名詞,社会,damages (legal),ダメージズ,,,compensation
1733,仲裁,名詞,社会,arbitration,アービトレーション,,,
1734,調停,名詞,社会,mediation,メディエーション,,,
1735,控訴,名詞,社会,appeal (legal),アピール,,,
1736,執行猶予,名詞,社会,suspended sentence,サスペンデッドセンテンス,,,
1737,保釈,名詞,社会,bail,ベイル,,,
1738,親権,名詞,社会,custody (legal),カスタディ,,,
1739,仮釈放,名詞,社会,parole,パロール,,,
1740,証言,名詞,社会,testimony,テスティモニー,,,
1741,試験管,名詞,教育,test tube,テストチューブ,,,
1742,フラスコ,名詞,教育,flask,フラスコ,,,
1743,ビーカー,名詞,教育,beaker,ビーカー,,,
1744,ピンセット,名詞,教育,tweezers,トゥイーザーズ,,,
1745,天秤,名詞,教育,balance (scale),バランス,,,scale
1746,磁石,名詞,教育,magnet,マグネット,,,
